,yyyymmdd,traceid,count
122,19960105,MV.MCPE.--.SHX,0
123,19960105,MV.MGT2.--.SHZ,0
124,19960105,MV.MHRE.--.SHZ,0
125,19960105,MV.MSPT.--.SHZ,14
126,19960105,MV.MGHZ.--.SHZ,18
127,19960105,MV.MHRN.--.SHX,0
128,19960105,MV.MWHT.--.SHZ,18
129,19960105,MV.MVPN.--.SHY,18
130,19960105,MV.MWH2.--.SHZ,0
131,19960105,MV.MLGL.--.SHZ,18
132,19960105,MV.MCHT.--.SHZ,0
133,19960105,MV.MHRV.--.SHZ,0
134,19960105,MV.MHRE.--.SHX,0
135,19960106,MV.MCPZ.--.SHZ,0
136,19960106,MV.MVPV.--.SHZ,344
137,19960106,MV.MVPE.--.SHX,344
138,19960106,MV.MHRV.--.SHY,0
139,19960106,MV.MBET.--.SHZ,344
140,19960106,MV.MSSZ.--.SHZ,344
141,19960106,MV.MHRN.--.SHY,0
142,19960106,MV.MLGT.--.SHZ,344
143,19960106,MV.MRYT.--.SHZ,344
144,19960106,MV.MSSE.--.SHX,344
145,19960106,MV.MCPN.--.SHY,0
146,19960106,MV.MCPT.--.SHZ,0
147,19960106,MV.MSSN.--.SHY,344
148,19960106,MV.MGAT.--.SHZ,344
149,19960106,MV.MCPE.--.SHX,0
150,19960106,MV.MGT2.--.SHZ,0
151,19960106,MV.MHRE.--.SHZ,0
152,19960106,MV.MSPT.--.SHZ,344
153,19960106,MV.MGHZ.--.SHZ,344
154,19960106,MV.MHRN.--.SHX,0
155,19960106,MV.MWHT.--.SHZ,344
156,19960106,MV.MVPN.--.SHY,344
157,19960106,MV.MWH2.--.SHZ,0
158,19960106,MV.MLGL.--.SHZ,344
159,19960106,MV.MCHT.--.SHZ,0
160,19960106,MV.MHRV.--.SHZ,0
161,19960106,MV.MHRE.--.SHX,0
162,19960107,MV.MCPZ.--.SHZ,0
163,19960107,MV.MVPV.--.SHZ,62
164,19960107,MV.MVPE.--.SHX,62
165,19960107,MV.MHRV.--.SHY,0
166,19960107,MV.MBET.--.SHZ,62
167,19960107,MV.MSSZ.--.SHZ,62
168,19960107,MV.MHRN.--.SHY,0
169,19960107,MV.MLGT.--.SHZ,62
170,19960107,MV.MRYT.--.SHZ,62
171,19960107,MV.MSSE.--.SHX,62
172,19960107,MV.MCPN.--.SHY,0
173,19960107,MV.MCPT.--.SHZ,0
174,19960107,MV.MSSN.--.SHY,62
175,19960107,MV.MGAT.--.SHZ,62
176,19960107,MV.MCPE.--.SHX,0
177,19960107,MV.MGT2.--.SHZ,0
178,19960107,MV.MHRE.--.SHZ,0
179,19960107,MV.MSPT.--.SHZ,62
180,19960107,MV.MGHZ.--.SHZ,62
181,19960107,MV.MHRN.--.SHX,0
182,19960107,MV.MWHT.--.SHZ,62
183,19960107,MV.MVPN.--.SHY,62
184,19960107,MV.MWH2.--.SHZ,0
185,19960107,MV.MLGL.--.SHZ,62
186,19960107,MV.MCHT.--.SHZ,0
187,19960107,MV.MHRV.--.SHZ,0
188,19960107,MV.MHRE.--.SHX,0
189,19960108,MV.MCPZ.--.SHZ,0
190,19960108,MV.MVPV.--.SHZ,77
191,19960108,MV.MVPE.--.SHX,77
192,19960108,MV.MHRV.--.SHY,0
193,19960108,MV.MBET.--.SHZ,77
194,19960108,MV.MSSZ.--.SHZ,77
195,19960108,MV.MHRN.--.SHY,0
196,19960108,MV.MLGT.--.SHZ,77
197,19960108,MV.MRYT.--.SHZ,77
198,19960108,MV.MSSE.--.SHX,77
199,19960108,MV.MCPN.--.SHY,0
200,19960108,MV.MCPT.--.SHZ,0
201,19960108,MV.MSSN.--.SHY,77
202,19960108,MV.MGAT.--.SHZ,77
203,19960108,MV.MCPE.--.SHX,0
204,19960108,MV.MGT2.--.SHZ,0
205,19960108,MV.MHRE.--.SHZ,0
206,19960108,MV.MSPT.--.SHZ,77
207,19960108,MV.MGHZ.--.SHZ,77
208,19960108,MV.MHRN.--.SHX,0
209,19960108,MV.MWHT.--.SHZ,77
210,19960108,MV.MVPN.--.SHY,77
211,19960108,MV.MWH2.--.SHZ,0
212,19960108,MV.MLGL.--.SHZ,77
213,19960108,MV.MCHT.--.SHZ,0
214,19960108,MV.MHRV.--.SHZ,0
215,19960108,MV.MHRE.--.SHX,0
216,19960109,MV.MCPZ.--.SHZ,0
217,19960109,MV.MVPV.--.SHZ,77
218,19960109,MV.MVPE.--.SHX,77
219,19960109,MV.MHRV.--.SHY,0
220,19960109,MV.MBET.--.SHZ,77
221,19960109,MV.MSSZ.--.SHZ,77
222,19960109,MV.MHRN.--.SHY,0
223,19960109,MV.MLGT.--.SHZ,77
224,19960109,MV.MRYT.--.SHZ,71
225,19960109,MV.MSSE.--.SHX,77
226,19960109,MV.MCPN.--.SHY,0
227,19960109,MV.MCPT.--.SHZ,0
228,19960109,MV.MSSN.--.SHY,77
229,19960109,MV.MGAT.--.SHZ,77
230,19960109,MV.MCPE.--.SHX,0
231,19960109,MV.MGT2.--.SHZ,0
232,19960109,MV.MHRE.--.SHZ,0
233,19960109,MV.MSPT.--.SHZ,77
234,19960109,MV.MGHZ.--.SHZ,77
235,19960109,MV.MHRN.--.SHX,0
236,19960109,MV.MWHT.--.SHZ,77
237,19960109,MV.MVPN.--.SHY,77
238,19960109,MV.MWH2.--.SHZ,0
239,19960109,MV.MLGL.--.SHZ,77
240,19960109,MV.MCHT.--.SHZ,0
241,19960109,MV.MHRV.--.SHZ,0
242,19960109,MV.MHRE.--.SHX,0
243,19960110,MV.MCPZ.--.SHZ,0
244,19960110,MV.MVPV.--.SHZ,18
245,19960110,MV.MVPE.--.SHX,18
246,19960110,MV.MHRV.--.SHY,0
247,19960110,MV.MBET.--.SHZ,18
248,19960110,MV.MSSZ.--.SHZ,18
249,19960110,MV.MHRN.--.SHY,0
250,19960110,MV.MLGT.--.SHZ,18
251,19960110,MV.MRYT.--.SHZ,14
252,19960110,MV.MSSE.--.SHX,18
253,19960110,MV.MCPN.--.SHY,0
254,19960110,MV.MCPT.--.SHZ,0
255,19960110,MV.MSSN.--.SHY,18
256,19960110,MV.MGAT.--.SHZ,18
257,19960110,MV.MCPE.--.SHX,0
258,19960110,MV.MGT2.--.SHZ,0
259,19960110,MV.MHRE.--.SHZ,0
260,19960110,MV.MSPT.--.SHZ,18
261,19960110,MV.MGHZ.--.SHZ,18
262,19960110,MV.MHRN.--.SHX,0
263,19960110,MV.MWHT.--.SHZ,18
264,19960110,MV.MVPN.--.SHY,18
265,19960110,MV.MWH2.--.SHZ,0
266,19960110,MV.MLGL.--.SHZ,18
267,19960110,MV.MCHT.--.SHZ,0
268,19960110,MV.MHRV.--.SHZ,0
269,19960110,MV.MHRE.--.SHX,0
270,19960111,MV.MCPZ.--.SHZ,0
271,19960111,MV.MVPV.--.SHZ,21
272,19960111,MV.MVPE.--.SHX,21
273,19960111,MV.MHRV.--.SHY,0
274,19960111,MV.MBET.--.SHZ,21
275,19960111,MV.MSSZ.--.SHZ,21
276,19960111,MV.MHRN.--.SHY,0
277,19960111,MV.MLGT.--.SHZ,21
278,19960111,MV.MRYT.--.SHZ,17
279,19960111,MV.MSSE.--.SHX,21
280,19960111,MV.MCPN.--.SHY,0
281,19960111,MV.MCPT.--.SHZ,0
282,19960111,MV.MSSN.--.SHY,21
283,19960111,MV.MGAT.--.SHZ,21
284,19960111,MV.MCPE.--.SHX,0
285,19960111,MV.MGT2.--.SHZ,0
286,19960111,MV.MHRE.--.SHZ,0
287,19960111,MV.MSPT.--.SHZ,21
288,19960111,MV.MGHZ.--.SHZ,21
289,19960111,MV.MHRN.--.SHX,0
290,19960111,MV.MWHT.--.SHZ,21
291,19960111,MV.MVPN.--.SHY,21
292,19960111,MV.MWH2.--.SHZ,0
293,19960111,MV.MLGL.--.SHZ,21
294,19960111,MV.MCHT.--.SHZ,0
295,19960111,MV.MHRV.--.SHZ,0
296,19960111,MV.MHRE.--.SHX,0
297,19960112,MV.MCPZ.--.SHZ,0
298,19960112,MV.MVPV.--.SHZ,102
299,19960112,MV.MVPE.--.SHX,102
300,19960112,MV.MHRV.--.SHY,0
301,19960112,MV.MBET.--.SHZ,102
302,19960112,MV.MSSZ.--.SHZ,102
303,19960112,MV.MHRN.--.SHY,0
304,19960112,MV.MLGT.--.SHZ,102
305,19960112,MV.MRYT.--.SHZ,102
306,19960112,MV.MSSE.--.SHX,102
307,19960112,MV.MCPN.--.SHY,0
308,19960112,MV.MCPT.--.SHZ,0
309,19960112,MV.MSSN.--.SHY,102
310,19960112,MV.MGAT.--.SHZ,102
311,19960112,MV.MCPE.--.SHX,0
312,19960112,MV.MGT2.--.SHZ,0
313,19960112,MV.MHRE.--.SHZ,0
314,19960112,MV.MSPT.--.SHZ,102
315,19960112,MV.MGHZ.--.SHZ,102
316,19960112,MV.MHRN.--.SHX,0
317,19960112,MV.MWHT.--.SHZ,102
318,19960112,MV.MVPN.--.SHY,102
319,19960112,MV.MWH2.--.SHZ,0
320,19960112,MV.MLGL.--.SHZ,102
321,19960112,MV.MCHT.--.SHZ,0
322,19960112,MV.MHRV.--.SHZ,0
323,19960112,MV.MHRE.--.SHX,0
324,19960113,MV.MCPZ.--.SHZ,0
325,19960113,MV.MVPV.--.SHZ,466
326,19960113,MV.MVPE.--.SHX,466
327,19960113,MV.MHRV.--.SHY,0
328,19960113,MV.MBET.--.SHZ,466
329,19960113,MV.MSSZ.--.SHZ,466
330,19960113,MV.MHRN.--.SHY,0
331,19960113,MV.MLGT.--.SHZ,466
332,19960113,MV.MRYT.--.SHZ,466
333,19960113,MV.MSSE.--.SHX,466
334,19960113,MV.MCPN.--.SHY,0
335,19960113,MV.MCPT.--.SHZ,0
336,19960113,MV.MSSN.--.SHY,466
337,19960113,MV.MGAT.--.SHZ,466
338,19960113,MV.MCPE.--.SHX,0
339,19960113,MV.MGT2.--.SHZ,0
340,19960113,MV.MHRE.--.SHZ,0
341,19960113,MV.MSPT.--.SHZ,466
342,19960113,MV.MGHZ.--.SHZ,466
343,19960113,MV.MHRN.--.SHX,0
344,19960113,MV.MWHT.--.SHZ,466
345,19960113,MV.MVPN.--.SHY,466
346,19960113,MV.MWH2.--.SHZ,0
347,19960113,MV.MLGL.--.SHZ,466
348,19960113,MV.MCHT.--.SHZ,0
349,19960113,MV.MHRV.--.SHZ,0
350,19960113,MV.MHRE.--.SHX,0
351,19960114,MV.MCPZ.--.SHZ,0
352,19960114,MV.MVPV.--.SHZ,51
353,19960114,MV.MVPE.--.SHX,51
354,19960114,MV.MHRV.--.SHY,0
355,19960114,MV.MBET.--.SHZ,51
356,19960114,MV.MSSZ.--.SHZ,51
357,19960114,MV.MHRN.--.SHY,0
358,19960114,MV.MLGT.--.SHZ,51
